name,dialogue
Dwight,It's going very well.
Dwight,I want a truce.
Darryl,You need to change your standard for what’s worthy of a text. Ask yourself is this something Darryl needs to know. The answers almost always no.
Michael,Wouldn’t that be fun?
Ryan,What?
Ryan,Michael? Are you done yet?
Pam,So we just... we wanna help you plan the proposal so that it's safe and responsible and realistic and doable.
Andy,"Hm. Assuming you had the voice to be in any of them, it's irrelevant. Because I called admissions and it looks like I, will be conducting your university interview."
Dwight,Go!
Kevin,Do we have to?
Michael,"See, I have your attention now, don't I? You're scared, but now you're ready to learn."
Jim,"Okay, but we are leaving at five minutes apart."
Michael,Fine. I love you.
Michael,Oh shoot!
Jim,And you didn’t fail those things either.
Pam,Helene.
Kevin,Like librarians.
Michael,"Okay, orange slices. There ya go."
Michael,"Goodbye Toby, it's been nice. Hope you find your paradise..."
Oscar,"Thank you, Jim, for thinking that we're smart people."
Phyllis,Who takes a kid to Mexico?
Pam,"So, I guess that's how they're gonna play this. It is on. It is so on."
Kevin,"Yeah, we’re aware of what it means Oscar, you just do not look cool saying it."
Darryl,Thinking about my grandmother a lot.
Michael,"Okay, this is it. Ryan is doing my intro right now."
Jim,"Ah, hey."
Pam,I'm here. I'm a part of this now.
Dwight,Let me out.
Creed,"Unfortunately, in this ham-fisted production of Sweeney Todd, the real terror comes from the vocal performances. New paragraph."
Jim,"I'm pretty excited about today. I baby-sit Toby's daughter Sasha sometimes. So, she's the coolest kid. She has seen me play with dolls, though, so I don't know how cool she thinks I am."
Jim,"Check this out though, spin serve. Well, it works like 80% of the time, so..."
Jim,"Yup, I guess so."
Angela,You're a dad!
Meredith,Whoo-hoo. Let’s get this party started!
Erin,Oh. They used worse paint than your paint?
Pam,Ugh.
Jim,It’s ringing. Does anybody have his name? Quick.
Toby,"Michael, this is really inappropriate to talk about."
Ryan,"Hello, what do we have here?"
Michael,"Nope, it won't be Gabe but actually, there is somebody in the office that is very, very close to Luke."
Jim,And I don't support her choice to hit you.
Michael,"Everybody in here. STAT. No time to lose. Cri-Man-Squa. F and C, doubletime."
Dwight,OK.
Jim,Mm-hmm.
Michael,"Hi, Jan. Hello, baby. How are you? Good to see you. Who's your daddy? You don't know who your daddy is, do you? No, you don't. Come on. Let's go in."
Pam,Oh my God. Is that Jan?
Michael,"Remember on that animated special when they taught the uh, the monster to put the star on top? That's Dwight. Dwight's the monster that we taught to put the star on top of the tree. You take his teeth out, and he could put the star on top of the tree."
Michael,"Can you believe it? He screwed up, not me."
Jim,Oh. Hadn’t noticed.
Michael,"Absolutely. Anyone who talked to the press, please raise your hand."
Kelly,Oh! You guys are gonna keep dating? That's so romantic!
Michael,"Ok, let me ask you this."
Oscar,"OK, the health care plan."
Andy,"How are operations of the company? Just, day-to day."
Phyllis,It's going to be a very jolly time if you've been good!
Pam,Hey.
Michael,...business meeting --
Jim,Oh yeah?
Darryl,Jim was nice enough to give me his bedroom.
Dwight,"Hey, hey!"
Dwight,This is the lake!
Angela,No. No.
Dwight,We have our confession. I'm calling security.
Oscar,That wasn’t what we were discu… That wasn’t the whole…
Michael,"You spend your whole life trying to get people to like you, and then you run over one person with your car. And it's not even one of the popular ones, and everybody gets on your case. Doesn't make any sense... God is dead."
Dwight,Have you finished with the sketch?
Michael,"Big deal. Oh, it would've worked out so well. Can you get it back?"
Pam,"Michael, I have Jan on the line."
Michael,I don't know. I don't know. Can't really trust my feelings anymore.
Erin,Got it. For Channel 11 news…
Jim,"Pam, I’m really sorry. I- I’m really sorry about…all that. Really? Smirking?"
Phyllis,Lose the twirl.
Pam,"Um, just cause, that, you work together, and it might be awkward."
Pam,That’s the weirdest possible solution to the problem.
Andy,"Well, I meant that in a bad way. Obviously it tastes good, but it’s not cool."
Oscar,"Michael, I didn't ask to come up here."
Jim,Can I change rooms?
Andy,Dave Matthews.
Jim,And that’s what I told him.
Dwight,"I walk a lonely road, the only one that I have ever known. Don't know where it goes, but it's home to me and I walk alone."
Dwight,"Oh, that's funny. MICHAEL!"
Dwight,"I don't need them. Superior genes. I'm a Schrute. And superior brain power. Through concentration, I can raise and lower my cholesterol at will."
Michael,"Well, I was letting everybody go to the big Diwali party."
Dwight,I will not be participating as there is no evidence that charity works.
Michael,"Well, nothing. Nothing really. I would just find an excuse to come here so I could stare at you through that window. This is what I'd do."
Michael,"One more hour. Take care of anything you forgot to do. Hey, you know, I don't know if you have any plans tonight, but if ya don't, we could hang out."
Angela,I’ll help you!
Dwight,"Michael! No, Michael, stop it! No!"
Michael,"Ha ha! Buenos dias, Dwight!"
Dwight,Two more.
Dwight,Oh.
Pam,Did you prank Dwight?
Michael,"Is that Pam? Hey, have her come out! Have her come out! It would be like Coyote Ugly."
Michael,Oh really.
Michael,Good in bed.
Dwight,"The worst thing you can do for your immune system is to coddle it. They need to fight their own battles. If Sabre really cared about our well-being, they would set up hand de-sanitizing stations. A simple bowl at every juncture filled with dirt, vomit, fecal matter..."
Oscar,"I get here early every morning so I can set the thermostat. I like it a little cooler, around 66 degrees. I'm more productive. Maybe some people don't like it as cold as I do, but I don't care."
Pam,"My old art room. Oh, maybe it's still here! No. No they must have taken it down. Never mind."
Meredith,I just like the way it feels.
Phyllis,Good luck!
Jim,"One second 'cause that sounds really good. Is jackass one word or two? One, right? 'Cause, 'cause of the show, it's one."
Pam,"Really, Jim? On Cupid's birthday?"
Michael,Toby.
Kevin,Whoa.
Jim,"Yeah, yeah."
Pam,Great.
Michael,"Ohhh, what? Oh I think I faked Oscar out."
Pam,"If you talk to her, you're gonna tell her about Stanley, and that's gonna seem more suspicious."
Toby,I knew it. I knew it from the beginning it was possible.
Michael,We don't need luck.
Michael,"Well, he, Michael Scarn, that character, orders people around, and that's, you should of just gone-"
Ryan,"Yeah, I'm not a temp anymore. I got Jim's uh, old job. Which means at my 10 year high school reunion it will not say ""Ryan Howard is a temp."" It will say ""Ryan Howard is a junior sales associate at a mid-range paper supply firm. ...that'll show 'em."
Andy,"Well, we don’t know how long the driver’s been gone and it’s not in direct sunlight."
Pam,"Hey, put me down. Put me down. Oh my god, hey, put me down. Hey..."
Erin,You did say it was a great idea. I heard you say it!
Jim,"Okay, okay..."
Kevin,Cool. Bye.
Phyllis,"So, I’ve just gotta know. What’s going on with you and AJ?"
Pam,"Oh, yeah, because we were kind of dramatic in the beginning. Well I don't think anything's gonna change in our lives now. With work and two kids there's just-nothing interesting is going to happen for us in a long, long time."
Toby,You mean food truck. Ernesto’s was a food truck.
Kevin,I would want to live with no legs.
Oscar,So!?
Jim,"Oh, yeah. Pregnant."
Pam,Are you inching away from me?
Jim,You know what? Let's go. We got to go to the hospital.
Michael,No.
Dwight,"That's funny, too. But if we're the Three Musketeers..."
Erin,I really think you should leave.
Michael,Newsflash: I've been here for fifteen years. Headline: You have been here one day. End of story. You have no right to cancel my fifteenth anniversary party. End of story. End of story. End of story!
Pam,It has the birth song on it!
Dwight,"It was his birthday, just turned three. So√Ę‚ā¨¬¶"
Andy,You give up?
Michael,Do you know a joke?
Dwight,Just rock. Shh.
Michael,Cool. Alright. Grab on. Here we go. Ready? Hang on tight. Alright. We are moving. We are reaaallly mooovin' now!
Dwight,I have.
Michael,"And hopefully he will walk out, and the rest is out of our hands."
Jim,"Oh, really?"
Toby,No.
Dwight,What if the owner of Prince Family Paper has a beautiful daughter and we have to seduce her to get the family secrets?
Michael,"I'm not changing that, it's the best one."
Pam,He can be.
Pam,"Uh, they're good. Uh, Jim's good. We're engaged."
Jim,No she doesn’t wa- She’s not here.
Michael,"Well, you know what, everybody thinks that I am crazy, and that tells me that I am the sanest person I know. So..."
Pam,"Yeah, its nuts. But I don’t know what else to do."
Jim,"Alright. Excuse me. I'm really sorry, but I have to let you go. And it's purely budgetary. It's not personal..."
Jim,Hey Dwight.
Jim,You really wanna bet?
Pam,Oh-ho-ho! He talked about himself in the third person?
Pam,"Oh, he's cute."
Andy,"The Finer Things Club is the most exclusive club in this office. Naturally, it's where I need to be. The party planning committee is my back up, and Kevin's band is my safety."
Michael,You might be surprised to learn that I've only been to one other wedding. It's actually a very cute story. My Mom was marrying Jeff. And they asked me to be ring bearer. I was understandably emotional and somehow my pants became wet.
Michael,"Oh, God. Oh, God."
Pam,"Um, I have a question."
Michael,Yes.
Dwight,No.
Andy,"Go tell them I'm floating away, obviously!"
Andy,"Best ad ever. Gimme a break, gimme a break, break me off a piece of that... I am totally blanking. What is the thing?"
Phyllis,"Oh, ok."
Phyllis,Isn’t he sweet?
Michael,I’m up.
Andy,"Hand me that water. I always say ""Beer me."" Gets a laugh like a quarter of the time. So how's what's-her-name?"
Andy,That you're learning a made-up language from HBO's Game of Thrones? I have a lot going on today…but this was a great nerd-out!
Michael,Okay!
Creed,"I couldn't care less about nepotism. But, I'm loving the debate. Great minds battling it out. And I've got a front row seat."
Pam,Hey Ryan. Welcome back --
Kelly,"Claire’s? Zales? Ricky’s? Earring, Earrings? Fancy Girl? Platinum Cat? Where?"
Angela,Did Michael give you permission to do this?
Jim,Ok.
Dwight,"Frankly, I'm not surprised. A lot of the evidence seemed to be based on puns."
Jim,Pam's sales are fine actually.
Oscar,Mmm...
Oscar,"Hey, what's the deal, Michael? Why are you spying on our computers?"
Andy,"You make a chair, but you don't sit on it."
Dwight,"Oh, man, I knew it. Who are her co-conspirators?"
Jim,"Alright... well, I'm not asking for a raise. I'm gonna actually be asking for a pay decrease."
Michael,"God, you look like such an idiot."
Andy,"Are we, uh... are we leaving or what? Ow!"
Michael,"Yeah, except for cheating on your wife. Adultery's a sin, look it up in the Bible people. What'd you get?"
Jim,Oh my god. That’s so romantic.
Jim,Your ex-wife?
Michael,"Mmmm, no, no, it’s… sedentary…"
Jim,It will be Angela.
Dwight,Thank you. So I saw you talking to Wallace earlier. Is he going to offer you the manager’s job?
Dwight,Him or me?
Michael,I knew it.
Pam,"No, that was a long time ago."
Erin,Why would I hide it!
Michael,"13 hot dogs, everybody!"
Michael,"Yeah, they used to."
Jim,"By the way, did we leave all the food on the bus?"
Jim,Nope.
Darryl,Yeah.
Meredith,Okay. One two three- Oh let's do it again. Pam your smile is weird.
Angela,Michael! Deangelo has a peanut allergy.
Andy,Tonight we’re staying late to service the accounts of the people who went on the Florida trip.
Michael,"Afro wig, do you want the afro wig?"
Stanley,I do not know.
Andy,"Well, I know. Just want... I mean..."
Andy,You know what--- I don't---
Pam,No.
Jim,Yeah! Like that rock opera! You could always do that right?
Dwight,Yeah I'm serious.
Dwight,"Stay low... This is it... There he is. He's been gone for at least two hours. Who is that? Come to Papa... Oh yes. Let's roll. I knew it! You are so busted. Ice skates, shopping bags? I think I know what's going on here. You weren't sick at all."
Michael,"I am, but you are the Eva Peron to my Cesar Chavez."
Dwight,Look. She's a dental hygienist from Carbondale and she makes love like one. She's a bumpkin. Pass.
Jim,I don’t know. He wasn’t talking to me. But if I were you I wouldn’t hire his wife.
Michael,"Yes, and hear me, Dwight, when I say I brought you into this world, and I can take you out. Bill Cosby."
Michael,Yeah.
Michael,No is not an option.
Pam,"Oh, no."
Michael,"Well, apparently, Michael Scott is on a date. And that, that my friend, changes everything."
Andy,Thank you muchly.
Jim,"If I left, what would I do with all this useless information in my head? You know? Tonnage price of manila folders? Um, Pam's favorite flavor of yogurt, which is mixed berry."
Dwight,He's lying.
Jim,A small blonde woman?
Kevin,Whoa!
Jim,"For the record, I fought this. Alright? And now, I’m not really sure what we do."
Michael,Ferris wheel's pretty cool though.
Pam,"Okay, this is just a Christmas card from your paper supplier. No one’s putting this on their fridge."
Michael,Have a seat.
Erin,"Dwight. What a ridiculous, fancy clown you are."
Michael,Hi. How did you know I was up here?
Erin,People say you cry all the time.
Kevin,No! It was my idea to not be raped!
Michael,Can we have the room please?
Pam,What?
Pam,Yeah. I’m excited to start the company.
Angela,How is that a bad rumor?
Jim,"Alright, here we go. Michael..."
Dwight,Fosters in the big can.
Phyllis,What--
Jim,"Hey, I have a question. Who do you think is really the best salesman in this office?"
Meredith,"Don’t what’s up us! You think you’re so cute, with your pretty blonde hair!"
Jim,So Pam was right?
Ryan,What?
Michael,Just shut up! I don't wanna hear anything more from you.
Dwight,State your business!
Michael,...for Phone. What?
Michael,"Rolando, I'd like you to meet Pam. She is our receptionist. You know what? Maybe you guys could go out on a little friend date sometime."
Pam,"Oh, bodes well for the post-conference room meeting."
Dwight,This is Stanley Hudson. Jim Halpert is a menace.
Michael,OK.
Andy,"Well, first just let me say that I hope when I’m done with the sort of ugly bits that we can stay friends."
Oscar,I'll just be sleep---
Stanley,What’s that supposed to mean?
Andy,"Ehh, seems a little full of itself, right? Kind of a pretty boy? What if we got a really beat up one, like on Charlie Brown. And we just loved it for what it is?"
Kevin,I think that’s from Big.
Oscar,Done!
Michael,"OK. We're gonna split up into teams. Jim, Phyllis. Stanley, Dwight. Me Andy."
Dwight,He’s my best customer.
Michael,Cool!
Meredith,And a rat. Separate occasions.
Erin,Apoplexy.
Dwight,"Oh I get it, I get it, come on, freeloader. Let's move it. Come on. Come on."
Andy,What was that?
Pam,The tiny wheel actually does have chores. ItΟΔβ²§β³Δs so cute no one seems to mind.
Oscar,"Oh, Mineral-ey."
Jim,"Uh, everyone? Everyone, can I just have your attention? Has anyone seen a small- Stop that tiny blonde woman! She stole my baby!"
Dwight,You wanted to see me?
Pam,"That's a really... well fine, Do the German instructions say what this is supposed to do?"
Jim,"Well, this is William M. Buttlicker."
Michael,No.
Andy,"I'm a little worried I might have asked out Naughty Nellie and not Erin. Which would be a whole lot less appealing, because Naughty Nellie says yes to everyone. And she might be a murderer."
Dwight,"That’s because I’m your right-hand man, Michael, but I can’t do it again. I can’t do it again for a whole new guy."
Dwight,"Kelly. Kev- Are you gonna quiet that baby? Or do I have to? In the Schrute family, the youngest child always raises the others. I’ve been raising children since I was a baby."
Jim,I... I didn't know that Toby was gonna write it down. I was just venting.
Pam,Uh-huh.
Andy,"Meow. Sweet 'stume, dude. Who are you supposed to be?"
Kevin,Ohh.
Michael,Do you… just… you’re kind of losing them.
Jim,"Yeah. Hey, can I talk to you about something?"
Angela,That's... no...
Andy,I’ll drop an ethics bomb on you. Would you steal bread to feed your family? … Boom!
Andy,Yes like a chime or a bell…
Michael,Why are the new people on the table? To show them that we are not above them.
Erin,Oh.
Andy,I use the word â€śguysâ€ť a lot when I’m nervous…guys.
Pam,What a cute bench.
Kevin,Yes! I love banter. But I hate witty banter.
Erin,"Got it. Oh, Oscar. Oscar?"
Jim,No. Not too hard. Not harder than I should.
Michael,Congratulations!
Michael,"Specifically, Jan, I will make at least ten phone calls to clients."
Michael,"A good manager doesn't fire people. He hires people and inspires people. ... People, Ryan. And people will never go out of business."
Michael,I'm just getting hardcore with him.
Meredith,"Um, What the hell?"
Michael,"You say yes, and we go out."
Michael,He is in an all-out sprint.
Oscar,"Listen, listen. Shh, buddy. Stanley's sleeping. You don't want to wake up the grumpy old walrus, do you?"
Pam,Michael.
Erin,"Guys. I know that a lot of people are mad at Andy and, believe me, I am too. But, he has been through a lot and we all used to love him, right? So, if he’s gonna get in trouble, just let it be his fault not ours. I don’t want that on my hands."
Toby,"Are you all right, Michael?"
Michael,These are my party-planning beeyatches. Pulled off an amazing '80s party last year. Off the hook!
Pam,I literally cannot wait to see what Dwight has planned. And I wish Jim were here.
Kelly,"Yep, we were in the middle of something so why don't you just..."
Oscar,"Darryl, everyone seems to be pairing off. Do you want to pretend to be a couple so we get the…"
Michael,Lowest in town.
Angela,Oh my god!
Michael,Right there. The coach!
Dwight,"Just a chocolate shake, chocolate sprinkles."
Stanley,You can't be serious. You ran a woman over this morning.
Michael,All right.
Michael,No. Not a giant net.
Andy,That… you got a promotion! Right? I mean that’s not the kinda thing you wanna read quietly at your desk.
Oscar,Not again.
Ryan,"What do you make, secretary?"
Andy,Done.
Dwight,I have a smudge on my forehead?
Michael,"It's an advice question, and if you don't wanna talk about it, I completely understand. It's, um..."
Creed,"Cool beans, man, I live by the quarry. We should hang out by the quarry and throw things down there."
Jim,It's Okay.
Pam,"Oh, I don’t know. I haven’t decided yet."
Dwight,It's very good for you.
Pam,Phyllis! What are you talking- The whole card depends on this!
Michael,"No, no, no it's not against the rules. She's not a permanent employee so it's not."
Michael,"No it's okay, we're talking code."
Oscar,Thank you David.
Dwight,What is that in your ear? A tiny beet seed. You need to clean your ears better.
Dwight,Why am I being forced to come in tomorrow and pretend that a website made sales that I made?
Andy,"Alright, uh…alright. I’m gonna tell the lawyer to pull the trigger on the boat."
Jim,"Hey, it’s snowing."
Michael,Busted.
Michael,Because that is how my mind works.
Kevin,"Ooh, can I be a pirate?"
Michael,That good?
Andy,"Good one. Okay, you ready?"
Michael,Who?
Dwight,"The buyer is your sisterĂ˘â‚¬â„˘s friend. This is the printing paper for the entire school district of Lackawanna. You are coming, and thatĂ˘â‚¬â„˘s an order."
Erin,"Oh, yeah. Was I not allowed to do that?"
Andy,"Yeah! It’s Roger Federer for men, I sprayed some in there."
Erin,I do really want him.
Angela,You’re ahead.
Jim,I tried to keep Michael in the dark. I should have known that he can do just as much damage in the dark.
Oscar,You're not gonna answer the phone?
Dwight,"Oh, did I? Oh, yes, I did."
Michael,What difference does it make whether your here?
Jim,Nice. Smart.
Michael,Can you smell the power of the Halperts? Power couple.
Jim,"Thank you. Oh, thank you very much. Appreciate it."
Kevin,No but that's not fair.
Jim,"Hey Meredith, how you feelin’?"
Andy,Tank you Mr. Elwis.
Phyllis,Oh.
Pam,That's a really big decision.
Michael,I don't know. I think so.
Jim,"No, Dwight. You’ll be doing the whacking."
Jim,"Last night on Trading Spouses, there's... have you seen it?"
Dwight,Yes!
Kevin,We all got to go sometime.
Michael,"Oh, my God. Look at how cheap street level rooms are. Am I the only person who enjoys people watching?"
Toby,"Every Friday at 4, I have a standing appointment with Dwight for him to file a grievance against Jim. I tell him that I'm sending them to a special file in New York. That box is the special file in New York."
Michael,"How would you have wanted to do it? Okay, okay. You know what? Inappropriate. I am engaged happily, and you have landed yourself a Senator."
Andy,That is our sales pitch and we are stickin' to it.
Kevin,"Yeah, but wait, don't tell them that we said anything to you."
Andy,Then I want my big blue sweater back.
Kevin,Do you think we should go ?
Jim,"No, we decided it was crazy not to worry about it."
Michael,"So you wouldn’t mind permanently relocating, so that Packer can take this desk here."
Kevin,"Better luck next time, pal."
Dwight,Eh.
Michael,Here we are.
Creed,Thanks mom.
Dwight,"Because you guys are my best friends, and I mean that. Managing you for this last week has been the greatest honor of my life. And if you ruin this, I will burn this office to the ground. And I mean that figuratively. Not literally. Because you guys are so… so important… to me. I love you guys. But don’t cross me. But you’re the best."
Jim,"Oops, that√¢‚Ç¨‚Ñ¢s my phone. Am I allowed to answer it or are you gonna freak out?"
Toby,Yeah.
Ryan,"Well, a lot of people are doing that. And there don't seem to be any consequences. And they say the rates have never been lower."
Michael,Here we go!
Michael,Hey there.
Andy,All right.
Oscar,Pair of shoes!
Kevin,Well the doctor said a combination of interferon and dicarbazine.
Dwight,"Okay, from now on, anyone who needs to speak to me has got to go through me first, all right?"
Andy,I√¢‚Ç¨‚Ñ¢m a former paper executive. I know the product. I know the margins. I can save you 25% on your costs.
Andy,"I love it. It’s fantastic. Now, tag it with your name."
Michael,Nine dollars. The boys' department.
Andy,That's it!
Oscar,I made egg salad sandwiches. Do you want one?
Jim,Don't take it.
Dwight,"Soil. Right. We have, in front of you here, seven different types of Pennsylvania top soil. Now, what would you say... is the most important element in the production of above ground leafy growth? Probably phosphorus, right? Wrong! It's nitrogen! Absorb this information. Good! Now, let us discuss precipitation. Stanley! When rainfall occurs, does it usually fall in a liquid, solid, or gaseous... state?"
Kevin,That's not fair.
Dwight,Michael is awesome! Jumpin’ off the roof!
Pam,"Well yeah, but what if we turned our mike packs?"
Kelly,"Well, because I thought that it was a book about Anthropology the store."
Michael,Oh heyyy. Martiiin. You have TV in the joint?
Oscar,Oh!
Andy,Nope.
Michael,Five years old?
Darryl,"Don’t come in, I’m busy."
Dwight,You failed?
Dwight,Tonight.
Michael,"All right, Okay, okay, you're getting inside my head. First name is blank and he goes on a cruise, he goes on a Caribbean CRUISE."
Pam,It was the new one I did.
Andy,"Ehhh no, I was just walking by your desk. I saw some email. I got peepers of an eagle."
Jim,"No, I mean, you guys really seem to have a strong connection."
Michael,"Oh, the Wall."
Andy,I didn't know you had a brother.
Dwight,It's easy. That's what I'm saying.
Andy,Pffft.
Jim,"Yeah. All right. Bye. All right. Sorry, I got to annoy you one more time. What if I bring down shipping costs?"
Erin,"Oh hey, didn’t see you."
Michael,"Oh, no no no, no, no. No, this-hey, hey, hey, hey, this might not be what I think... that I don't even know is in there, because there are a lot of presents in my car, and I don't know which is which..."
Michael,"We're okay, Jim! Okay, Pamela. You know what time it is?"
Phyllis,"Yeah, I really like Stanley, but I'm not always sure if he likes me. I guess that's okay, 'cause I don't really like him."
Michael,Okay.
Toby,I√¢‚Ç¨‚Ñ¢ve seen guys like you. Big guys who like to push the little guys around. Lloyd Gross eats bullies like you for breakfast.
Dwight,"Pepto-Bismol, in his hot chocolate."
Erin,Sorry.
Dwight,All right.
Michael,Forget the question…
Toby,"Well, we still have to do the exit interview."
Oscar,"That’s great, man."
Michael,Oh...
Jim,I know. And I can’t do it.
Pam,Conference room?
Meredith,Hey!
Jim,Only two hundred dollars?
Kevin,"Oh really, Angela? That’s interesting. Cause I do think that I could surprise you. I think that I could surprise you..oh! I have to go to the bathroom!"
Jim,Mmm... it's like Michael said. It was some- something else.
Dwight,The Japanese camp guards of World War II always chose one man to kill whenever a batch of new prisoners arrived. I always wondered how they chose the man who was to die. I think I would have been good at choosing the person.
Michael,"Today I'm heading over to the job fair at Valley View High School, to find some new interns. Want to get some fresh blood. Um, euthanize this place."
Jim,"No, I mean, great detective work. ‘Cause this must be the first case you’ve ever cracked, right?"
Michael,"You know, when I hired Kevin, he was actually applying for a job in the warehouse."
Jim,No. There's no extra outfit in the bag.
Dwight,What-
Jim,What about Oscar? Could you beat Oscar?
Michael,I happen to think the old ways of doing business are better. And I can prove it.
Pam,...Would You Rather?
Michael,Ye-- No. Alright. I'll take off my jacket and tense my stomach and you can just--
Michael,"Game over. Game over. That is it! I’m sorry, you know? I hate to do it this way but, you know, that’s just… we’re having a friendly game. It’s a shame. This is a damn shame, but we’re like a family here and that just, that won’t fly."
Kelly,Sparkles…
Pam,I can take 3 people.
Dwight,What's going on?
Michael,To change lives.
Pam,"It's impractical. I'm not going to try to get a house like that. Um... they don't even make houses like that in Scranton. So, I'm never going to... ."
Michael,"Okay, who's this from? Wowwwee, look at that! Jersey!"
Dwight,This is if we were all on a cruise ship and had to divide into lifeboats. This is if we were on a cruise ship and had to divide into life rafts. Here├óŌé¼Ōäós something. Who would eat who in an ├óŌé¼╦£Alive├óŌé¼Ōäó situation. No… that can├óŌé¼Ōäót be it.
Michael,I’m gonna have it one of these nights.
Kevin,I’m going to call him Little Kevin.
Michael,No you would not.
Jim,"Okay, I thought I saw people missing."
Pam,"Ryan, just tell us your plan."
Stanley,But... why Dwight?
Pam,"Um, Jim, please, please, please, I think it'd be weird if you did it."
Michael,"It is Friday morning and it is another beautiful day in Scranton, Pennsylvania. Oh my God. Ohhh. Pick up, pick up, pick up, pick up. Oh, we have a serious problem here. Alright everybody, lock the doors, turn off the lights. Pretend you're not here."
Kevin,I accept your decision!
Angela,Michael...
Jim,"You making this up as you go along, aren't you?"
Dwight,"All right. All right, just …stay focused on the pill."
Michael,"Well, that’s a relief. Santa’s gonna take some much-needed free time. Alright. Good!"
Erin,Wow.
Toby,"Really, really funny."
Pam,OK.
Dwight,"No, don’t say it. You’re fired! You’re both fired!"
Jim,Tell me about the cologne. How much?
Angela,"Yeah, shut it, Oscar. Pam?"
Dwight,You're leaving?
Dwight,"This whole place is a tinder box, it is ready to blow!"
Toby,"Wow, thanks, Michael, I..."
Angela,I have to watch our shoes so they don’t get stolen. Who were you texting?
Kelly,"Okay, well the next time that you get scared, that you think a murderer's in your apartment in the middle of the night..."
Pam,Angela – she used to stay here sometimes?
Michael,"Oh, how are you? Nice to meet you, Bill. Bill. Mr. Bill. OHHH NOOO. MR. BILL. OHHH! SNL? When they pull him apart? He’d always get rolled over by something."
Pam,She's sweet and cute. I thought you'd get along.
Pam,David Wallace is on line one.
Pam,You don’t find Cathy attractive?
Dwight,"$30,000? There’s gotta be another way."
Erin,I’m trying. Sorry.
Michael,"OK, Ryan. You told Toby that Creed has a distinct old man smell?"
Kelly,Whoa.
Jim,"Okay, good. Stay right here."
Toby,I have good cards.
Dwight,"Okay, one. Case of the beet bandit. Missing beets from all over the farm. No footprints. Inside job. Mose in socks. Boom, case closed."
Ryan,"I never cared about you? Six months ago Karen Filipelli sent me an email. Asked me out. I said no, because I was committed to our relationship."
Pam,"Mmm! Good pate, right? Oscar made it. Have you met Oscar?"
Phyllis,I didn’t ask you where it was. I told you where it needs to be.
Angela,These are for employees only.
Phyllis,"Um, let's see... it's fine."
Darryl,No no no no. I like her.
Stanley,"Oh, thanks."
Jim,"Yes, you do."
Angela,Decent people everywhere will get offended.
Toby,"Oh, sure."
Dwight,What?
Pam,"No, I mean, just 'cause we like got along so well."
Ryan,"Oh, that’s nice."
Michael,"There were these huge bins of clothes, and everybody was rifling through them like crazy, and I grabbed one. And it fit! So I don't think that this is totally just a woman's suit. At the very least it's bisexual."
Erin,I think I have to be on my own for a little bit. Like the girl Precious in Precious. Based on the novel Push by Sapphire. Ok?
Michael,All right. What do you do with the hog dogs that you don’t sell?
Andy,Reception. Your classic one-man operation.
Michael,"Just one joke. Ok. Well, if it's just gonna be one, I will think of a different joke. Umm... let's see... choo choo choo."
Michael,"Can I have everyone’s attention please? Phyllis, Oscar, Ryan, who’s supposed to be dead, can I ask you all a question? Do you all know what it’s like to be disabled? Oscar?"
Michael,"We got beat today, Dwight."
Dwight,That you look like the world’s tallest hobbit.
Angela,"Andy, I'm engaged to you. I mean, we just signed off on our wedding flowers. Would I have said yes to formal chrysanthemums if I didn't want to get married? And, we went through all that stuff with our wedding cake..."
Michael,What is that? A squid's eye or...
Jim,"Oh, no, absolutely."
Michael,Yes.
Dwight,Esther Ruger.
Andy,Thank you. You have such a pretty smile by the way.
Jim,Ok. Bye.
Michael,"You’re gonna be okay, it’s gonna…"
Andy,"But here’s the best part. The prize is a thousand dollars, and if we win, we can use that money to buy paper here, close the gap on our eight percent profit increase…"
Michael,"And now, the chains."
Dwight,Women look like white slaves.
Michael,"No no, did, I heard you talking to Oscar about that guy. What, what happened? Did he call?"
Jim,"No, it's hilarious, you're right. I just think, um, ""world's longest engagement"", um, we're all expecting it, you know?"
Andy,"Shut up, Broccoli."
Michael,"It's insane! A woman Santa, where does it stop? No! Jim, this may be the last Christmas that we have here, doesn't it make you a tiny bit anxious, me NOT playing Santa? Come on!"
Andy,That seems a little far-fetched.
Jim,Bye.
Michael,"Keep the change. Here you go buddy, happy birthday."
Michael,"You're starting, you're kinda losing them."
Dwight,You? You did this as a prank. My own Bestich Mensch.
Ryan,"If you bring your boss to class, it automatically bumps you up a full letter grade. So... I'd be stupid not to do it, right?"
Pam,Where’d he go?
Dwight,"OK, can we steer away from gay people?"
Dwight,Where's Michael going? Michael? Is he sick? Is he choking?
Jim,Ten. It was the full ten.
Pam,Thank you.
Michael,I spy?
Pam,"You know, stuff people didn’t intend for everyone to see. And they kinda want to know how much."
Michael,"No, I'm talking about your personality, Dwight."
Andy,"Oh, God!"
Jim,I don’t know what I was so worried about. I have the best wife in the world.
Darryl,Would you like to buy some cookies?
Phyllis,"Okay, forget it."
Pam,"In Phoenix. They should really tell you that more specifically. I mean, every game is an away game for one of the teams. Do we know everything about each other?"
Pam,Oh.
Pam,"I don’t think so, but they put paint where I didn’t want paint. So…"
Michael,Yeppers.
Oscar,"An octagon is a shape. You can see shapes, can’t you?"
Kevin,"Come on Jim, you’re killing her!"
